单品编码,样本数量,平均销量,最大销量,最小销量,方差
102900011034354,41,4.878048780487805,160.0,1.0,616.609756097561
106972776821582,88,1.4090909090909092,30.0,1.0,10.060606060606064
102900011001561,491,4.2525458248472505,17.0,1.0,3.7605802402427333
102900005115960,14892,1.2663968573730862,14.592,0.051,0.5274642074120559
102900011033906,6325,1.0199852964426879,9.082,0.101,0.21438360304120319
102900011024010,19,1.105263157894737,3.0,1.0,0.2105263157894737
102900005116899,35125,0.695600768683274,13.993,0.057,0.17591613160742706
102900011033081,40,0.6249,2.06,0.276,0.14309881025641027
102900011000571,1315,0.5128676806083651,9.235,0.025,0.13273922296531634
102900011018132,75,0.6775333333333333,2.663,0.165,0.12592992792792795
102900011023976,87,0.704183908045977,1.795,0.218,0.10956066345896807
102900011009277,2717,0.5899517850570483,3.883,0.088,0.10824575798374172
102900011008522,5547,0.7969621416982152,3.333,0.186,0.10485860837536183
102900011001691,296,0.408625,2.269,0.064,0.08704888601694913
102900011021842,5462,1.0109849871841816,17.0,1.0,0.08667659783353755
102900011029688,4,0.7214999999999999,1.057,0.352,0.08340433333333332
102900051010455,13988,0.5581297540749214,16.003,0.078,0.08145823475343891
102900011001813,1936,1.0836776859504131,4.0,1.0,0.0798161317188801
102900051006229,34,0.5474705882352942,1.212,0.152,0.07937916577540108
102900011022849,2340,0.5879858974358975,2.029,0.084,0.06746381125892059
102900005116509,5934,0.5853407482305358,2.475,0.167,0.06486583937419135
102900051000463,1772,0.5907996613995485,2.85,0.259,0.06360852280056281
102900011010891,800,0.51834125,2.347,0.159,0.0633999447293492
106957634300010,163,1.0245398773006136,4.0,1.0,0.061122472165416934
102900005122654,8628,0.5681254056560037,2.5,0.141,0.061094911592799485
102900005116790,4500,0.5981877777777778,6.505,0.1,0.058263493738114645
102900011009444,2354,0.48403610875106207,4.274,0.12,0.05749309049330917
102900011035764,238,0.7067226890756302,1.827,0.183,0.05551130674041768
102900011008676,28,0.41807142857142854,1.118,0.094,0.05541910582010585
