销售日期,扫码销售时间,单品编码,销量(千克),销售单价(元/千克),销售类型,是否打折销售
2022-05-27,16:07:01.346,102900011034354,1.0,5.9,销售,否
2022-05-27,19:55:38.358,102900011034354,1.0,5.9,销售,否
2022-05-27,19:55:40.342,102900011034354,1.0,5.9,销售,否
2022-05-27,21:18:35.934,102900011034354,1.0,5.9,销售,否
2022-05-27,21:36:13.098,102900011034354,1.0,5.9,销售,否
2022-05-28,10:10:35.641,102900011034354,1.0,5.9,销售,否
2022-05-28,16:56:22.206,102900011034354,1.0,5.9,销售,否
2022-05-28,17:01:22.139,102900011034354,1.0,5.9,销售,否
2022-05-28,20:10:30.155,102900011034354,1.0,5.9,销售,否
2022-05-28,20:10:34.233,102900011034354,1.0,5.9,销售,否
2022-05-28,20:22:18.444,102900011034354,1.0,5.9,销售,否
2022-05-28,20:22:18.625,102900011034354,1.0,5.9,销售,否
2022-05-28,20:22:19.397,102900011034354,1.0,5.9,销售,否
2022-05-28,21:20:18.355,102900011034354,1.0,5.9,销售,否
2022-05-29,10:15:42.823,102900011034354,1.0,5.9,销售,否
2022-05-29,13:36:32.950,102900011034354,1.0,5.9,销售,否
2022-05-29,13:36:33.130,102900011034354,1.0,5.9,销售,否
2022-05-29,13:58:40.911,102900011034354,1.0,5.9,销售,否
2022-05-29,14:24:12.382,102900011034354,1.0,5.9,销售,否
2022-05-29,15:05:04.385,102900011034354,1.0,5.9,销售,否
2022-05-29,17:13:34.302,102900011034354,1.0,5.9,销售,否
2022-05-29,17:13:34.484,102900011034354,1.0,5.9,销售,否
2022-05-29,17:23:11.271,102900011034354,1.0,5.9,销售,否
2022-05-29,17:23:11.460,102900011034354,1.0,5.9,销售,否
2022-05-29,18:12:29.764,102900011034354,1.0,5.9,销售,否
2022-05-29,20:02:07.616,102900011034354,1.0,5.9,销售,否
2022-05-29,20:03:48.498,102900011034354,1.0,5.9,销售,否
2022-05-29,20:45:36.826,102900011034354,1.0,5.9,销售,否
2022-05-29,21:10:06.384,102900011034354,1.0,5.9,销售,否
2022-05-30,09:57:48.463,102900011034354,1.0,5.9,销售,否
2022-05-31,10:34:50.451,102900011034354,1.0,5.9,销售,否
2022-05-31,12:02:57.670,102900011034354,1.0,5.9,销售,否
2022-05-31,18:37:15.197,102900011034354,1.0,5.9,销售,否
2022-05-31,18:37:15.375,102900011034354,1.0,5.9,销售,否
2022-05-31,20:17:09.178,102900011034354,1.0,5.9,销售,否
2022-05-31,20:17:09.359,102900011034354,1.0,5.9,销售,否
2022-05-31,20:51:47.060,102900011034354,1.0,5.9,销售,否
2022-06-01,10:02:46.061,102900011034354,1.0,5.9,销售,否
2022-06-01,12:59:35.272,102900011034354,1.0,5.9,销售,否
2022-06-01,15:34:23.576,102900011034354,1.0,5.9,销售,否
2022-06-09,09:31:57.045,102900011034354,160.0,5.9,销售,否
2023-05-13,17:02:37.948,106972776821582,1.0,6.8,销售,否
2023-05-14,11:07:46.983,106972776821582,1.0,6.8,销售,否
2023-05-14,11:07:49.998,106972776821582,1.0,6.8,销售,否
2023-05-15,21:52:03.011,106972776821582,1.0,6.8,销售,否
2023-05-16,09:51:11.623,106972776821582,1.0,6.8,销售,否
2023-05-16,09:51:14.467,106972776821582,1.0,6.8,销售,否
2023-05-16,09:51:17.67,106972776821582,1.0,6.8,销售,否
2023-05-16,09:51:20.389,106972776821582,1.0,6.8,销售,否
2023-05-16,09:58:49.416,106972776821582,1.0,6.8,销售,否
2023-05-16,20:41:37.217,106972776821582,1.0,6.8,销售,否
2023-05-17,18:57:09.701,106972776821582,1.0,6.8,销售,否
2023-05-18,16:07:18.327,106972776821582,1.0,6.8,销售,否
2023-05-20,18:54:14.881,106972776821582,1.0,6.8,销售,否
2023-05-20,18:54:15.041,106972776821582,1.0,6.8,销售,否
2023-05-21,18:44:57.436,106972776821582,1.0,6.8,销售,否
2023-05-21,18:44:58.405,106972776821582,1.0,6.8,销售,否
2023-05-24,16:42:37.644,106972776821582,1.0,6.8,销售,否
2023-05-25,10:21:27.332,106972776821582,1.0,6.8,销售,否
2023-05-26,16:31:55.082,106972776821582,1.0,6.8,销售,否
2023-05-26,21:08:05.427,106972776821582,1.0,6.8,销售,否
2023-05-28,10:37:31.089,106972776821582,1.0,6.8,销售,否
2023-05-28,11:01:01.092,106972776821582,1.0,6.8,销售,否
2023-05-28,16:02:49.123,106972776821582,1.0,6.8,销售,否
2023-05-28,18:28:07.639,106972776821582,1.0,6.8,销售,否
2023-05-29,14:16:42.508,106972776821582,1.0,6.8,销售,否
2023-05-29,14:16:42.683,106972776821582,1.0,6.8,销售,否
2023-05-31,15:25:01.044,106972776821582,1.0,6.8,销售,否
2023-06-02,18:30:15.805,106972776821582,1.0,6.8,销售,否
2023-06-03,13:19:15.11,106972776821582,1.0,6.8,销售,否
2023-06-04,15:13:52.679,106972776821582,1.0,6.8,销售,否
2023-06-04,20:04:50.873,106972776821582,1.0,6.8,销售,否
2023-06-05,10:47:43.912,106972776821582,1.0,6.8,销售,否
2023-06-05,10:47:44.136,106972776821582,1.0,6.8,销售,否
2023-06-05,18:08:11.483,106972776821582,1.0,6.8,销售,否
2023-06-05,19:01:13.444,106972776821582,1.0,6.8,销售,否
2023-06-05,19:01:13.632,106972776821582,1.0,6.8,销售,否
2023-06-06,12:59:38.003,106972776821582,1.0,6.8,销售,否
2023-06-07,21:40:23.988,106972776821582,1.0,6.8,销售,否
2023-06-08,16:57:44.288,106972776821582,1.0,6.8,销售,否
2023-06-09,20:51:50.014,106972776821582,1.0,6.8,销售,否
2023-06-10,19:23:18.733,106972776821582,1.0,6.8,销售,否
2023-06-11,09:52:28.815,106972776821582,1.0,6.8,销售,否
2023-06-11,16:29:33.93,106972776821582,1.0,6.8,销售,否
2023-06-11,16:29:34.095,106972776821582,1.0,6.8,销售,否
2023-06-11,18:28:52.061,106972776821582,1.0,6.8,销售,否
2023-06-11,21:18:01.717,106972776821582,1.0,6.8,销售,否
2023-06-12,09:21:23.932,106972776821582,1.0,6.8,销售,否
2023-06-12,09:21:24.101,106972776821582,1.0,6.8,销售,否
2023-06-12,17:03:29.073,106972776821582,1.0,6.8,销售,否
2023-06-13,10:33:22.231,106972776821582,1.0,6.8,销售,否
2023-06-14,18:12:49.467,106972776821582,1.0,6.8,销售,否
2023-06-14,18:12:54.733,106972776821582,1.0,6.8,销售,否
2023-06-15,20:23:16.873,106972776821582,1.0,6.8,销售,否
2023-06-15,21:00:48.397,106972776821582,1.0,6.8,销售,否
2023-06-16,09:15:46.123,106972776821582,1.0,6.8,销售,否
2023-06-16,10:22:46.253,106972776821582,1.0,6.8,销售,否
2023-06-16,15:34:08.92,106972776821582,8.0,6.8,销售,否
2023-06-16,15:45:00.78,106972776821582,30.0,6.8,销售,否
2023-06-16,19:00:22.126,106972776821582,1.0,6.8,销售,否
2023-06-17,10:39:01.045,106972776821582,1.0,6.8,销售,否
2023-06-17,11:44:18.875,106972776821582,1.0,6.8,销售,否
2023-06-17,11:44:19.05,106972776821582,1.0,6.8,销售,否
2023-06-17,12:04:06.29,106972776821582,1.0,6.8,销售,否
2023-06-17,12:42:48.085,106972776821582,1.0,6.8,销售,否
2023-06-17,15:49:34.887,106972776821582,1.0,6.8,销售,否
2023-06-17,15:49:35.138,106972776821582,1.0,6.8,销售,否
2023-06-17,16:06:23.645,106972776821582,1.0,6.8,销售,否
2023-06-17,19:37:41.764,106972776821582,1.0,6.8,销售,否
2023-06-17,20:37:38.467,106972776821582,1.0,6.8,销售,否
2023-06-17,20:37:41.108,106972776821582,1.0,6.8,销售,否
2023-06-17,20:54:00.152,106972776821582,1.0,6.8,销售,否
2023-06-17,20:54:00.342,106972776821582,1.0,6.8,销售,否
2023-06-17,20:54:00.541,106972776821582,1.0,6.8,销售,否
2023-06-18,09:51:49.214,106972776821582,1.0,6.8,销售,否
2023-06-18,09:58:46.076,106972776821582,1.0,6.8,销售,否
2023-06-18,09:58:46.261,106972776821582,1.0,6.8,销售,否
2023-06-18,10:03:57.487,106972776821582,1.0,6.8,销售,否
2023-06-18,10:03:57.675,106972776821582,1.0,6.8,销售,否
2023-06-18,10:03:57.875,106972776821582,1.0,6.8,销售,否
2023-06-18,10:03:58.063,106972776821582,1.0,6.8,销售,否
2023-06-18,10:24:22.366,106972776821582,1.0,6.8,销售,否
2023-06-18,10:24:22.547,106972776821582,1.0,6.8,销售,否
2023-06-18,10:24:22.731,106972776821582,1.0,6.8,销售,否
2023-06-18,14:08:11.033,106972776821582,1.0,6.8,销售,否
2023-06-18,14:08:11.221,106972776821582,1.0,6.8,销售,否
2023-06-18,14:08:11.416,106972776821582,1.0,6.8,销售,否
2023-06-18,14:21:40.16,106972776821582,1.0,6.8,销售,否
2023-06-18,14:21:40.339,106972776821582,1.0,6.8,销售,否
